nam,mon,diem,so_luong
2019,Toán,-0,110
2019,Toán,0.2,1
2019,Toán,0.4,6
2019,Toán,0.6,36
2019,Toán,0.8,74
2019,Toán,1,228
2019,Toán,1.2,552
2019,Toán,1.4,1229
2019,Toán,1.6,2350
2019,Toán,1.8,4121
2019,Toán,2,6566
2019,Toán,2.2,9070
2019,Toán,2.4,11571
2019,Toán,2.6,14142
2019,Toán,2.8,15962
2019,Toán,3,17353
2019,Toán,3.2,18670
2019,Toán,3.4,19437
2019,Toán,3.6,20458
2019,Toán,3.8,21825
2019,Toán,4,23406
2019,Toán,4.2,24686
2019,Toán,4.4,26671
2019,Toán,4.6,28073
2019,Toán,4.8,29786
2019,Toán,5,31386
2019,Toán,5.2,32313
2019,Toán,5.4,33937
2019,Toán,5.6,34687
2019,Toán,5.8,34982
2019,Toán,6,35295
2019,Toán,6.2,35435
2019,Toán,6.4,35794
2019,Toán,6.6,35741
2019,Toán,6.8,35661
2019,Toán,7,35203
2019,Toán,7.2,33853
2019,Toán,7.4,32099
2019,Toán,7.6,29167
2019,Toán,7.8,25762
2019,Toán,8,22002
2019,Toán,8.2,17640
2019,Toán,8.4,13581
2019,Toán,8.6,10243
2019,Toán,8.8,7086
2019,Toán,9,4765
2019,Toán,9.2,2794
2019,Toán,9.4,1565
2019,Toán,9.6,684
2019,Toán,9.8,182
2019,Toán,10,12
2019,Lý,-0,50
2019,Lý,0.25,1
2019,Lý,0.5,7
2019,Lý,0.75,25
2019,Lý,1,117
2019,Lý,1.25,312
2019,Lý,1.5,640
2019,Lý,1.75,1329
2019,Lý,2,2427
2019,Lý,2.25,3557
2019,Lý,2.5,4868
2019,Lý,2.75,6273
2019,Lý,3,7526
2019,Lý,3.25,8596
2019,Lý,3.5,9500
2019,Lý,3.75,10708
2019,Lý,4,11611
2019,Lý,4.25,12538
2019,Lý,4.5,13917
2019,Lý,4.75,15307
2019,Lý,5,16332
2019,Lý,5.25,17434
2019,Lý,5.5,18557
2019,Lý,5.75,19414
2019,Lý,6,19656
2019,Lý,6.25,19839
2019,Lý,6.5,19393
2019,Lý,6.75,18687
2019,Lý,7,17519
2019,Lý,7.25,15238
2019,Lý,7.5,13134
2019,Lý,7.75,10326
2019,Lý,8,7821
2019,Lý,8.25,5425
2019,Lý,8.5,3408
2019,Lý,8.75,2046
2019,Lý,9,966
2019,Lý,9.25,385
2019,Lý,9.5,103
2019,Lý,9.75,17
2019,Lý,10,2
2019,Hóa,-0,57
2019,Hóa,0.25,1
2019,Hóa,0.5,5
2019,Hóa,0.75,35
2019,Hóa,1,146
2019,Hóa,1.25,389
2019,Hóa,1.5,873
2019,Hóa,1.75,1646
2019,Hóa,2,2712
2019,Hóa,2.25,4252
2019,Hóa,2.5,5641
2019,Hóa,2.75,7199
2019,Hóa,3,8600
2019,Hóa,3.25,10144
2019,Hóa,3.5,11717
2019,Hóa,3.75,12870
2019,Hóa,4,13899
2019,Hóa,4.25,15142
2019,Hóa,4.5,15774
2019,Hóa,4.75,16700
2019,Hóa,5,17609
2019,Hóa,5.25,17949
2019,Hóa,5.5,18488
2019,Hóa,5.75,19213
2019,Hóa,6,19765
2019,Hóa,6.25,19563
2019,Hóa,6.5,19234
2019,Hóa,6.75,18110
2019,Hóa,7,15985
2019,Hóa,7.25,13547
2019,Hóa,7.5,10519
2019,Hóa,7.75,7809
2019,Hóa,8,5359
2019,Hóa,8.25,3341
2019,Hóa,8.5,2134
2019,Hóa,8.75,1204
2019,Hóa,9,641
2019,Hóa,9.25,311
2019,Hóa,9.5,150
2019,Hóa,9.75,51
2019,Hóa,10,12
2019,Sinh,-0,53
2019,Sinh,0.25,2
2019,Sinh,0.5,9
2019,Sinh,0.75,17
2019,Sinh,1,70
2019,Sinh,1.25,191
2019,Sinh,1.5,455
2019,Sinh,1.75,946
2019,Sinh,2,1781
2019,Sinh,2.25,2972
2019,Sinh,2.5,4936
2019,Sinh,2.75,7311
2019,Sinh,3,10532
2019,Sinh,3.25,14233
2019,Sinh,3.5,18150
2019,Sinh,3.75,22546
2019,Sinh,4,26171
2019,Sinh,4.25,29056
2019,Sinh,4.5,30279
2019,Sinh,4.75,29624
2019,Sinh,5,27257
2019,Sinh,5.25,23613
2019,Sinh,5.5,19672
2019,Sinh,5.75,15461
2019,Sinh,6,11964
2019,Sinh,6.25,8641
2019,Sinh,6.5,6404
2019,Sinh,6.75,4704
2019,Sinh,7,3483
2019,Sinh,7.25,2850
2019,Sinh,7.5,2316
2019,Sinh,7.75,1893
2019,Sinh,8,1670
2019,Sinh,8.25,1333
2019,Sinh,8.5,1073
2019,Sinh,8.75,806
2019,Sinh,9,574
2019,Sinh,9.25,406
2019,Sinh,9.5,256
2019,Sinh,9.75,134
2019,Sinh,10,39
2019,Văn,-0,188
2019,Văn,0.25,106
2019,Văn,0.5,443
2019,Văn,0.75,369
2019,Văn,1,340
2019,Văn,1.25,2103
2019,Văn,1.5,2371
2019,Văn,1.75,2730
2019,Văn,2,4715
2019,Văn,2.25,5174
2019,Văn,2.5,7978
2019,Văn,2.75,8711
2019,Văn,3,13862
2019,Văn,3.25,13601
2019,Văn,3.5,20060
2019,Văn,3.75,20241
2019,Văn,4,31309
2019,Văn,4.25,29363
2019,Văn,4.5,42762
2019,Văn,4.75,37860
2019,Văn,5,71173
2019,Văn,5.25,55982
2019,Văn,5.5,73520
2019,Văn,5.75,61966
2019,Văn,6,78625
2019,Văn,6.25,56000
2019,Văn,6.5,60644
2019,Văn,6.75,40316
2019,Văn,7,44173
2019,Văn,7.25,25555
2019,Văn,7.5,23524
2019,Văn,7.75,12899
2019,Văn,8,10958
2019,Văn,8.25,4339
2019,Văn,8.5,2805
2019,Văn,8.75,898
2019,Văn,9,390
2019,Văn,9.25,55
2019,Văn,9.5,17
2019,Văn,9.75,0
2019,Văn,10,0
2019,Địa,-0,230
